"","Estimate","Est.Error","l.95..CI","u.95..CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",-0.8,0.61,-2.05,0.38,1,6018.36,7862.6
"groupmetaHelper",2.53,0.46,1.66,3.48,1,16219.07,12751.38
