"ID","group","task","time","key_id_task","result_correct"
24,"Control","task_6",223,"24_task_6",0
25,"Control","task_1",172,"25_task_1",1
25,"Control","task_2",606,"25_task_2",0
25,"Control","task_3",210,"25_task_3",1
25,"Control","task_4",282,"25_task_4",0
25,"Control","task_5",242,"25_task_5",0
25,"Control","task_6",492,"25_task_6",0
26,"Control","task_1",430,"26_task_1",0
26,"Control","task_2",201,"26_task_2",0
26,"Control","task_3",100,"26_task_3",1
26,"Control","task_4",339,"26_task_4",0
26,"Control","task_5",432,"26_task_5",0
26,"Control","task_6",884,"26_task_6",0
