"","Estimate","Est.Error","l.95..CI","u.95..CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",296.53,19.57,258.06,334.41,1,29278,16182
"groupmetaHelper",-132.38,24.94,-180.51,-82.89,1,28186,16363
