"","Estimate","Est.Error","l.95..CI","u.95..CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",296.5,19.52,257.64,334.66,1,30746,15817
"groupmetaHelper",-132.36,24.93,-180.92,-83.02,1,30633,15370
