"","Estimate","Est.Error","l.95..CI","u.95..CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",317.7,20.79,276.8,358.09,1,31433,15013
"groupmetaHelper",-171.82,28.2,-226.63,-116.53,1,30387,15331
