"","Estimate","Est.Error","l.95..CI","u.95..CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",-0.73,0.57,-1.91,0.38,1,6601,7774
"groupmetaHelper",2.49,0.45,1.65,3.41,1,14861,12297
