"","Estimate","Est.Error","l.95..CI","u.95..CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",-0.79,0.6,-2.07,0.33,1,5362,8332
"groupmetaHelper",2.54,0.46,1.67,3.47,1,15390,11822
