"ID","task","result","group","result_correct","correct_min","correct_max","key_id_task"
15,"task_4",NA,"Control",0,0.6,0.7,"15_task_4"
16,"task_4",NA,"Control",0,0.6,0.7,"16_task_4"
17,"task_4",0.51,"Control",0,0.6,0.7,"17_task_4"
18,"task_4",0.67,"Control",1,0.6,0.7,"18_task_4"
19,"task_4",0.958,"Control",0,0.6,0.7,"19_task_4"
20,"task_4",0.97,"Control",0,0.6,0.7,"20_task_4"
21,"task_4",0.67,"Control",1,0.6,0.7,"21_task_4"
22,"task_4",NA,"Control",0,0.6,0.7,"22_task_4"
23,"task_4",0.6,"Control",1,0.6,0.7,"23_task_4"
24,"task_4",NA,"Control",0,0.6,0.7,"24_task_4"
25,"task_4",5.62,"Control",0,0.6,0.7,"25_task_4"
26,"task_4",NA,"Control",0,0.6,0.7,"26_task_4"
1,"task_5",-1,"Intervention",1,0.9,1,"1_task_5"
2,"task_5",-1,"Intervention",1,0.9,1,"2_task_5"
3,"task_5",-1,"Intervention",1,0.9,1,"3_task_5"
4,"task_5",-1,"Intervention",1,0.9,1,"4_task_5"
5,"task_5",-1,"Intervention",1,0.9,1,"5_task_5"
6,"task_5",NA,"Intervention",0,0.9,1,"6_task_5"
7,"task_5",-1,"Intervention",1,0.9,1,"7_task_5"
8,"task_5",NA,"Intervention",0,0.9,1,"8_task_5"
9,"task_5",-1,"Intervention",1,0.9,1,"9_task_5"
10,"task_5",-1,"Intervention",1,0.9,1,"10_task_5"
11,"task_5",-1,"Intervention",1,0.9,1,"11_task_5"
12,"task_5",-1,"Intervention",1,0.9,1,"12_task_5"
13,"task_5",-1,"Intervention",1,0.9,1,"13_task_5"
14,"task_5",-1,"Intervention",1,0.9,1,"14_task_5"
15,"task_5",1,"Control",1,0.9,1,"15_task_5"
16,"task_5",-1,"Control",1,0.9,1,"16_task_5"
17,"task_5",2.5,"Control",0,0.9,1,"17_task_5"
18,"task_5",-1,"Control",1,0.9,1,"18_task_5"
19,"task_5",-1,"Control",1,0.9,1,"19_task_5"
20,"task_5",1,"Control",1,0.9,1,"20_task_5"
21,"task_5",0.8,"Control",0,0.9,1,"21_task_5"
22,"task_5",1,"Control",1,0.9,1,"22_task_5"
23,"task_5",1,"Control",1,0.9,1,"23_task_5"
24,"task_5",NA,"Control",0,0.9,1,"24_task_5"
25,"task_5",2.5,"Control",0,0.9,1,"25_task_5"
26,"task_5",NA,"Control",0,0.9,1,"26_task_5"
1,"task_6",11.59,"Intervention",1,11.5,11.6,"1_task_6"
2,"task_6",11.59,"Intervention",1,11.5,11.6,"2_task_6"
3,"task_6",NA,"Intervention",0,11.5,11.6,"3_task_6"
4,"task_6",11.59,"Intervention",1,11.5,11.6,"4_task_6"
5,"task_6",11.47,"Intervention",0,11.5,11.6,"5_task_6"
6,"task_6",11.59,"Intervention",1,11.5,11.6,"6_task_6"
7,"task_6",10.48,"Intervention",0,11.5,11.6,"7_task_6"
8,"task_6",11.59,"Intervention",1,11.5,11.6,"8_task_6"
9,"task_6",11.59,"Intervention",1,11.5,11.6,"9_task_6"
10,"task_6",11.59,"Intervention",1,11.5,11.6,"10_task_6"
11,"task_6",11.47,"Intervention",0,11.5,11.6,"11_task_6"
12,"task_6",11.59,"Intervention",1,11.5,11.6,"12_task_6"
13,"task_6",11.59,"Intervention",1,11.5,11.6,"13_task_6"
14,"task_6",11.59,"Intervention",1,11.5,11.6,"14_task_6"
15,"task_6",NA,"Control",0,11.5,11.6,"15_task_6"
16,"task_6",131.47,"Control",0,11.5,11.6,"16_task_6"
17,"task_6",NA,"Control",0,11.5,11.6,"17_task_6"
18,"task_6",NA,"Control",0,11.5,11.6,"18_task_6"
19,"task_6",11.69,"Control",0,11.5,11.6,"19_task_6"
20,"task_6",8.53,"Control",0,11.5,11.6,"20_task_6"
21,"task_6",14.75,"Control",0,11.5,11.6,"21_task_6"
22,"task_6",11.51,"Control",1,11.5,11.6,"22_task_6"
23,"task_6",13.42,"Control",0,11.5,11.6,"23_task_6"
24,"task_6",NA,"Control",0,11.5,11.6,"24_task_6"
25,"task_6",11.69,"Control",0,11.5,11.6,"25_task_6"
26,"task_6",161.29,"Control",0,11.5,11.6,"26_task_6"
